Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1161151  Y 1020497
X 1161153  Y 997997
X 1161253  Y 1014751
X 1163353  Y 996246
X 1165353  Y 1002646
X 1166151  Y 1011097
X 1168553  Y 1001046
X 1169053  Y 1005846
X 1171453  Y 1014351
X 1172153  Y 999046
X 1174253  Y 1019251
X 1174953  Y 1005946
X 1174953  Y 999046
X 1177653  Y 999046
X 1179000  Y 1009800
X 1181559  Y 1009859
X 1182553  Y 999446
X 1183753  Y 1019651
X 1184303  Y 1009748
X 1185353  Y 999446
X 1186303  Y 1002748
X 1187353  Y 1012646
X 1191353  Y 1004246
X 1191397  Y 1000746
X 1193953  Y 999851
X 1194948  Y 1002396
X 1195753  Y 1009046
X 1196553  Y 1014751
X 1197900  Y 1000000
X 1199551  Y 1017997
X 1204899  Y 996497
X 1208653  Y 1011501
X 1213153  Y 1004051
X 1216148  Y 1003596
X 1221653  Y 1014751
X 1222418  Y 1010939
X 1222653  Y 1018751
X 1230551  Y 997046
X 1233203  Y 1014851
X 1234953  Y 1004246
X 1235200  Y 1017200
X 1237200  Y 996900
X 1238750  Y 1001146
X 1238800  Y 998700
X 1246153  Y 1000951
X 1246356  Y 1011689
X 1257700  Y 1017300
X 1269463  Y 1008234
X 1291452  Y 1018452
X 1309153  Y 1003251
X 1314153  Y 1003251
X 1318653  Y 1003251
X 1323153  Y 1005751
X 1327153  Y 998751
X 1330153  Y 1002751
X 1331653  Y 1005751
X 1335653  Y 1003251
X 1339653  Y 1003251
X 1338452  Y 1020952
X 1208153  Y 1021751
X 1193753  Y 1020551
X 1164253  Y 1020851
X 1157171  Y 1026015
X 1154021  Y 1025797
X 1124094  Y 1021715
X 1091799  Y 1021299
X 1083000  Y 1025300
X 1066700  Y 1025500
X 1060727  Y 1021519
Drill: .01  Tool: 2  Feed: 95  Speed: 300
X 1322800  Y 958200
X 1364500  Y 890000
X 1364500  Y 884000
X 1364500  Y 887000
X 1239700  Y 993300
X 1210200  Y 1003900
X 1052623  Y 1025749
Drill: .012  Tool: 3  Feed: 95  Speed: 300
X 1327531  Y 907452
X 1327531  Y 901547
X 1329500  Y 904500
X 1331468  Y 907452
X 1331468  Y 901547
Drill: .02  Tool: 4  Feed: 197  Speed: 550
X 980000  Y 915000
X 980000  Y 935000
X 990000  Y 915000
X 990000  Y 935000
X 1208153  Y 902846
X 1253500  Y 939500
X 1332053  Y 868751
X 1370153  Y 899846
X 1223396  Y 949175
Drill: .036  Tool: 5  Feed: 197  Speed: 550
X 1000000  Y 1013779
X 1000000  Y 1000000
Drill: .042  Tool: 6  Feed: 139  Speed: 550
X 1224153  Y 911846
X 1224153  Y 903972
X 1224153  Y 896098
X 1234153  Y 911846
X 1234153  Y 903972
X 1234153  Y 896098
X 1244153  Y 911846
X 1244153  Y 903972
X 1244153  Y 896098
X 1254153  Y 911846
X 1254153  Y 903972
X 1254153  Y 896098
X 1264153  Y 911846
X 1264153  Y 903972
X 1264153  Y 896098
X 1274153  Y 911846
X 1274153  Y 903972
X 1274153  Y 896098
Drill: .098  Tool: 7  Feed: 66  Speed: 550
X 1100256  Y 945519
X 1275256  Y 1018019
X 1365256  Y 955519
End of Listing
